CurrentTime,LowestPrice,LowestPriceTime,LPrice,UPrice
11:29:01.000,83500,11:28:07.000,83200,83800
11:29:01.000,83500,11:28:06.000,83200,83800
11:29:02.000,83500,11:28:06.000,83200,83800
11:29:03.000,83500,11:28:05.000,83200,83800
11:29:04.000,83500,11:28:03.000,83200,83800
11:29:05.000,83500,11:28:01.000,83200,83800
11:29:06.000,83500,11:27:58.000,83200,83800
11:29:07.000,83500,11:27:55.000,83200,83800
11:29:08.000,83500,11:27:50.000,83200,83800
11:29:09.000,83500,11:27:46.000,83200,83800
11:29:10.000,83500,11:27:42.000,83200,83800
11:29:11.000,83500,11:27:37.000,83200,83800
11:29:12.000,83500,11:27:33.000,83200,83800
11:29:13.000,83500,11:27:28.000,83200,83800
11:29:14.000,83500,11:27:23.000,83200,83800
11:29:15.000,83500,11:27:17.000,83200,83800
11:29:15.000,83500,11:27:17.000,83300,83900
11:29:16.000,83600,11:29:12.000,83300,83900
11:29:17.000,83600,11:28:45.000,83300,83900
11:29:18.000,83600,11:28:39.000,83300,83900
11:29:20.000,83600,11:28:31.000,83300,83900
11:29:21.000,83600,11:28:28.000,83300,83900
11:29:21.000,83600,11:28:24.000,83300,83900
11:29:22.000,83600,11:28:24.000,83300,83900
11:29:23.000,83600,11:28:22.000,83300,83900
11:29:24.000,83700,11:29:02.000,83400,84000
11:29:24.000,83700,11:28:46.000,83400,84000
11:29:25.000,83700,11:28:46.000,83400,84000
11:29:26.000,83700,11:28:37.000,83400,84000
11:29:26.000,83800,11:29:24.000,83500,84100
11:29:27.000,83800,11:29:24.000,83500,84100
11:29:28.000,83800,11:29:22.000,83500,84100
11:29:29.000,83800,11:29:20.000,83500,84100
11:29:30.000,83800,11:29:18.000,83500,84100
11:29:31.000,83800,11:29:16.000,83500,84100
11:29:32.000,83800,11:29:15.000,83500,84100
11:29:33.000,83800,11:29:13.000,83500,84100
11:29:33.000,83800,11:29:11.000,83500,84100
11:29:34.000,83800,11:29:11.000,83500,84100
11:29:35.000,83800,11:29:10.000,83500,84100
11:29:36.000,83800,11:29:07.000,83500,84100
11:29:37.000,83800,11:29:04.000,83500,84100
11:29:37.000,83800,11:29:00.000,83500,84100
11:29:38.000,83800,11:29:00.000,83500,84100
11:29:38.000,83800,11:28:56.000,83500,84100
11:29:39.000,83800,11:28:56.000,83500,84100
11:29:39.000,83800,11:28:51.000,83500,84100
11:29:40.000,83800,11:28:51.000,83500,84100
11:29:40.000,83800,11:28:48.000,83500,84100
11:29:41.000,83800,11:28:48.000,83500,84100
11:29:41.000,83800,11:28:45.000,83500,84100
11:29:42.000,83800,11:28:45.000,83500,84100
11:29:42.000,83800,11:29:42.000,83600,84200
11:29:43.000,83900,11:29:42.000,83600,84200
11:29:43.000,83900,11:29:32.000,83600,84200
11:29:44.000,83900,11:29:32.000,83600,84200
11:29:45.000,83900,11:29:26.000,83600,84200
11:29:46.000,84000,11:29:42.000,83700,84300
11:29:46.000,84000,11:29:34.000,83700,84300
11:29:47.000,84000,11:29:34.000,83700,84300
11:29:47.000,84000,11:29:28.000,83700,84300
11:29:48.000,84000,11:29:28.000,83700,84300
11:29:48.000,84000,11:29:28.000,83800,84400
11:29:49.000,84100,11:29:47.000,83800,84400
11:29:50.000,84100,11:29:44.000,83800,84400
11:29:50.000,84100,11:29:40.000,83800,84400
11:29:51.000,84100,11:29:40.000,83800,84400
11:29:53.000,84100,11:29:34.000,83800,84400
11:29:53.000,84200,11:29:53.000,83900,84500
11:29:54.000,84200,11:29:53.000,83900,84500
11:29:55.000,84200,11:29:48.000,83900,84500
11:29:56.000,84200,11:29:45.000,83900,84500
11:29:56.000,84200,11:29:45.000,84000,84600
11:29:57.000,84300,11:29:51.000,84000,84600
11:29:58.000,84400,11:29:55.000,84100,84700
11:29:59.000,84400,11:29:51.000,84100,84700
11:30:00.000,84500,11:29:57.000,84200,84800
