CurrentTime,LowestPrice,LowestPriceTime,LPrice,UPrice
00:00.0,83700,00:00.0,83400,84000
29:01.0,83700,28:13.0,83400,84000
29:01.0,83700,28:11.0,83400,84000
29:02.0,83700,28:11.0,83400,84000
29:03.0,83700,28:10.0,83400,84000
29:04.0,83700,28:09.0,83400,84000
29:05.0,83700,28:08.0,83400,84000
29:06.0,83700,28:07.0,83400,84000
29:07.0,83700,28:05.0,83400,84000
29:07.0,83700,28:00.0,83400,84000
29:08.0,83700,28:00.0,83400,84000
29:09.0,83700,27:52.0,83400,84000
29:09.0,83700,27:42.0,83400,84000
29:10.0,83700,27:42.0,83400,84000
29:11.0,83700,27:35.0,83400,84000
29:12.0,83700,27:27.0,83400,84000
29:12.0,83700,27:27.0,83500,84100
29:14.0,83800,28:46.0,83500,84100
29:15.0,83800,28:40.0,83500,84100
29:16.0,83800,28:33.0,83500,84100
29:17.0,83900,29:16.0,83600,84200
29:17.0,83900,28:53.0,83600,84200
29:18.0,83900,28:53.0,83600,84200
29:19.0,83900,28:45.0,83600,84200
29:20.0,83900,28:35.0,83600,84200
29:20.0,83900,28:35.0,83700,84300
29:21.0,84000,29:19.0,83700,84300
29:22.0,84000,29:18.0,83700,84300
29:22.0,84000,29:17.0,83700,84300
29:23.0,84000,29:17.0,83700,84300
29:24.0,84000,29:15.0,83700,84300
29:25.0,84000,29:14.0,83700,84300
29:26.0,84000,29:12.0,83700,84300
29:26.0,84000,29:11.0,83700,84300
29:27.0,84000,29:11.0,83700,84300
29:27.0,84000,29:10.0,83700,84300
29:28.0,84000,29:10.0,83700,84300
29:28.0,84000,29:09.0,83700,84300
29:29.0,84000,29:09.0,83700,84300
29:30.0,84000,29:08.0,83700,84300
29:31.0,84000,29:07.0,83700,84300
29:31.0,84000,29:06.0,83700,84300
29:32.0,84000,29:06.0,83700,84300
29:32.0,84000,29:04.0,83700,84300
29:33.0,84000,29:04.0,83700,84300
29:34.0,84000,29:01.0,83700,84300
29:35.0,84000,28:58.0,83700,84300
29:36.0,84000,28:54.0,83700,84300
29:37.0,84000,28:50.0,83700,84300
29:37.0,84000,28:44.0,83700,84300
29:38.0,84000,28:44.0,83700,84300
29:38.0,84000,29:20.0,83800,84400
29:40.0,84100,29:20.0,83800,84400
29:41.0,84200,29:31.0,83900,84500
29:42.0,84200,29:24.0,83900,84500
29:43.0,84300,29:40.0,84000,84600
29:44.0,84300,29:37.0,84000,84600
29:45.0,84300,29:31.0,84000,84600
29:46.0,84300,29:24.0,84000,84600
29:46.0,84400,29:45.0,84100,84700
29:47.0,84400,29:45.0,84100,84700
29:47.0,84400,29:42.0,84100,84700
29:48.0,84400,29:42.0,84100,84700
29:48.0,84400,29:39.0,84100,84700
29:49.0,84400,29:39.0,84100,84700
29:49.0,84400,29:39.0,84200,84800
29:50.0,84500,29:47.0,84200,84800
29:50.0,84500,29:44.0,84200,84800
29:51.0,84500,29:44.0,84200,84800
29:51.0,84500,29:44.0,84300,84900
29:53.0,84600,29:49.0,84300,84900
29:53.0,84600,29:44.0,84300,84900
29:54.0,84600,29:44.0,84300,84900
29:54.0,84700,29:51.0,84400,85000
29:55.0,84700,29:51.0,84400,85000
29:55.0,84800,29:53.0,84500,85100
29:56.0,84800,29:53.0,84500,85100
29:56.0,84800,29:50.0,84500,85100
29:57.0,84800,29:50.0,84500,85100
29:57.0,84800,29:50.0,84600,85200
29:58.0,84900,29:53.0,84600,85200
29:58.0,85100,29:59.0,84800,85400
30:00.0,85100,29:59.0,84800,85400
30:00.0,85100,29:59.0,83400,84000
